column,data_type,description
referral_details_id,float64,
referral_id,object,
referral_source,object,
referral_source_category,object,
referral_at_local,object,
referrer_id,float64,
referrer_name,object,
referrer_phone,float64,
referrer_homeclub,object,
referee_id,object,
referee_name,object,
referee_phone,object,
referral_status,float64,
transaction_id,object,
transaction_status,object,
transaction_at_local,object,
tx_transaction_location,object,
transaction_type,object,
updated_at_original,object,
reward_granted_flag,bool,
is_business_logic_valid,bool,
